رقم العمليه,التاريخ,الصنف,الكمية,السعر,الإجمالي,المدفوع,المتبقي,المتبقي الكلي,ملاحظه,الوقت
1,02/10/2023,رصيد إفتتاحي,1.0,41765.0,41765.0,0.0,41765.0,41765.0,الملاحظات,16:09:11
2,07/10/2023,خميرة فورية,5.0,1110.0,5550.0,0.0,5550.0,47315.0,الملاحظات,22:18:37
3,07/10/2023,عدس,50.0,41.0,2050.0,0.0,2050.0,49365.0,الملاحظات,22:18:51
4,11/10/2023,شكائر بقوليات لوبيا,30.0,47.0,1410.0,0.0,1410.0,50775.0,الملاحظات,00:56:50
5,11/10/2023,خميرة فورية,5.0,1110.0,5550.0,0.0,5550.0,56325.0,الملاحظات,00:57:14
6,14/10/2023,عدس,50.0,39.75,1987.5,0.0,1987.5,58312.5,الملاحظات,02:27:31
7,14/10/2023,حصى بلدي,75.0,35.0,2625.0,0.0,2625.0,60937.5,الملاحظات,02:27:57
8,14/10/2023,شكائر بقوليات فاصوليا,80.0,59.0,4720.0,0.0,4720.0,65657.5,الملاحظات,02:28:19
9,14/10/2023,ذرة فشار,20.0,37.0,740.0,0.0,740.0,66397.5,الملاحظات,02:28:42
10,14/10/2023,شكائر بقوليات لوبيا,30.0,46.5,1395.0,0.0,1395.0,67792.5,الملاحظات,02:29:05
11,14/10/2023,شكائر بقوليات فول انجليزي,50.0,23.75,1187.5,0.0,1187.5,68980.0,الملاحظات,02:29:27
12,14/10/2023,خميرة فورية,8.0,1110.0,8880.0,0.0,8880.0,77860.0,الملاحظات,02:29:43
13,14/10/2023,مبلغ مدفوع,1.0,0.0,0.0,80000.0,-80000.0,-2140.0,الملاحظات,02:42:23
14,14/10/2023,عدس,50.0,39.75,1987.5,0.0,1987.5,-152.5,الملاحظات,22:27:02
15,14/10/2023,حصى بلدي,75.0,35.0,2625.0,0.0,2625.0,2472.5,الملاحظات,22:27:19
16,2023-10-27,استيكر تحيا مصر 900,800.0,10.0,8000.0,700.0,7300.0,9772.5,لا يوجد,20:04:00
17,2023-10-27,استيكر تحيا مصر 900,800.0,10.0,8000.0,7000.0,1000.0,10772.5,لا يوجد,20:05:00
